count_par,count_seq,upper_par,upper_seq,lower_par,lower_seq
196817,1036766,378125,2273948,378705,2316548
206907,1110805,379035,2313238,410614,2354707
216077,1068935,374805,2321498,377574,2342668
198088,1027205,419475,2348147,375265,2319218
196647,1090995,400924,2305358,412064,2344628
246637,1029085,381805,2381957,380195,2313858
196967,1073826,393714,2370157,375675,2369077
196987,1075865,386515,2359558,416164,2312358
238207,1071185,382585,2310048,380775,2333627
201167,1072905,386575,2358267,378455,2358967
196817,1070465,379945,2312358,393094,2376998
196987,1108685,380654,2323588,419194,2351738
223487,1028516,378395,2384517,378555,2330628
196827,1074335,417794,2319408,378265,2354627
196767,1034906,390515,2346767,433334,2305208
227567,1037276,392174,2316558,382225,2347317
199237,1053735,386135,2355378,377675,2358487
198568,1038565,406865,2372567,377895,2372328
226487,1055666,420054,2350577,380375,2355307
200967,1060765,377885,2336748,381715,2344688
198537,1067135,390855,2389167,378505,2365847
198068,1056285,397554,2353238,420474,2312838
233467,1029915,377455,2363127,381945,2345098
196888,1032325,386375,2276619,378665,2274989
198118,1025306,375064,2285099,378045,2275909
198348,1025296,384214,2283539,390595,2378647
198197,1045216,410624,2348968,424545,2352637
201117,1077245,375235,2338478,379085,2341788
198337,1029736,405425,2333647,378075,2315358
197037,1035116,377664,2359268,398805,2331538
228077,1051555,410704,2349618,380585,2309548
197188,1070935,377935,2318848,397665,2353707
198097,1059256,375535,2366217,374735,2365188
198288,1029505,413555,2348327,399155,2344317
225657,1090835,377715,2333128,387545,2316498
198977,1033416,377915,2346967,380555,2351937
198008,1064935,401034,2378657,378105,2359037
198047,1060386,389484,2348128,430774,2306658
230297,1065746,375124,2318168,391065,2326167
196847,1033106,400054,2338748,378184,2343988
196537,1035786,377675,2316288,378045,2366628
231927,1044976,406784,2307388,426434,2358608
200788,1065585,383535,2399236,377925,2266419
198028,1029535,405805,2371807,375164,2326898
196268,1081795,412524,2320348,423204,2317688
228197,1071006,381834,2347658,381804,2355388
200377,1026676,374965,2398266,377765,2324938
198197,1032956,379135,2279419,374985,2282138
196418,1072045,377585,2324637,379545,2273709
217387,1042066,386585,2271088,424024,2320768
202877,1066515,379465,2335878,376855,2352408
197937,1030326,386195,2354207,378215,2280638
196717,1032626,377345,2347727,377795,2353277
198757,1053216,430044,2302318,425594,2310408
245337,1064565,386024,2349088,380915,2320507
199138,1033225,377715,2308138,381624,2360118
198237,1064715,410325,2369487,378184,2356798
201147,1031576,420174,2304018,413704,2315708
235387,1067815,375055,2356817,378585,2312588
198107,1027656,378675,2358487,375765,2318048
197077,1076775,379195,2314468,406134,2292768
199667,1026876,427764,2358808,377845,2279489
198187,1066735,378615,2331788,382925,2361287
202777,1027486,379675,2344987,378354,2353348
198227,1061756,417694,2362457,382024,2360538
238626,1058536,396834,2315788,430184,2307518
213207,1062345,374945,2362867,389965,2350167
196757,1077025,416734,2316869,378625,2357977
196858,1078535,380395,2352277,416254,2322248
199808,1072575,378385,2331087,393884,2311889
198138,1027315,400995,2343407,377715,2278588
196727,1035626,378065,2275039,378145,2279018
198378,1024255,426465,2279598,375105,2320528
196737,1039215,377675,2314918,379185,2273978
201788,1031795,380615,2319258,383314,2352308
200398,1068245,377735,2312578,393785,2307858
199028,1029075,402945,2335287,375435,2323868
196687,1071855,379105,2346148,418684,2320378
240817,1057125,395765,2309718,428104,2308858
210487,1062676,374994,2323588,377405,2275978
197298,1031465,377965,2313638,378054,2325268
198747,1062846,384014,2310678,375985,2399697
198277,1070525,380485,2316218,416865,2356087
202087,1028256,377935,2354267,382195,2363167
196748,1071835,386685,2356217,377745,2355267
198327,1031636,415534,2342678,418874,2321528
233456,1036936,379945,2311218,382294,2343578
200118,1072495,377325,2358127,377955,2279059
198457,1028856,417704,2368417,375755,2360297
197077,1079195,379725,2358908,377835,2351977
198498,1060605,377555,2344818,377565,2353967
198067,1027316,389024,2340168,377964,2354118
198127,1048995,422945,2313718,399335,2312028
228197,1051915,410514,2271659,418494,2358357
198288,1063045,374705,2321798,382475,2348588
196527,1070896,377954,2304878,380775,2324948
199787,1074045,428344,2286489,377715,2296648
198077,1087606,380704,2331508,425064,2361517
236367,1070385,378585,2332678,381305,2290188
199567,1035356,377745,2298618,378025,2293939
