count_par,count_seq,upper_par,upper_seq,lower_par,lower_seq
20242620,246631926,38578328,230486549,39272638,232218075
20711935,247876719,39077050,232682659,38680347,232390762
20581125,105198289,38785404,230780445,38547509,229289665
20456588,244611764,38478009,248297893,38406840,228817992
20328999,245814158,38034215,229200427,38211492,230493479
20580216,106715937,38986452,232677779,38919393,233478658
20655295,105587242,38837595,232159026,38739246,230214483
20688617,106849829,38537542,229773647,38424924,231278796
20592348,249960960,38108149,227818274,38032920,239000181
20471410,240263883,38439994,231755490,38526263,232235823
20715176,104777547,38991916,262689927,38682991,232596878
20475850,235130283,38664562,229671798,39215884,259034416
20616318,104166225,38598992,229440021,37976221,227839813
20307492,102012375,38348395,230834832,38657431,230991020
20574329,103020411,38748970,233036192,38824639,232663267
20712557,103258657,39017387,231468753,39316363,230115792
20621388,102191602,38351925,242639191,38590292,234043658
20490269,242637501,37977491,271151781,38245527,230709114
20593559,246669725,38854369,232584828,38899348,232922893
20753126,249291200,38986907,232576588,38451074,229922104
20554249,229189445,38570932,230961381,39406351,229830906
20366501,102848753,38378915,229213685,38029879,229716388
20506660,108843891,38569412,231190657,38543713,232959413
20743116,108662914,38542253,232047095,39242913,232253663
20651927,241437218,38425924,229742097,38339556,230663535
20561979,103204618,38280687,229102575,38052020,227976341
20300432,101293744,38625672,230333139,39375851,281625128
20582019,102984171,38957417,232520669,38823849,233349998
20690047,103527394,39140154,231510783,38369106,230062842
20568589,108035012,38408595,261234296,38548842,229974974
20729176,245186966,38082519,227962402,38023700,253526862
20454770,243257623,38646901,257677965,38648621,232423311
20705866,104595160,39025196,237132886,38565352,256603550
20617698,103536124,38366925,230133152,38572303,230962080
20438500,103849700,38324655,232025516,38044259,227729665
20297463,246244951,38488234,249020623,38777830,232366581
20720796,102897563,39630178,231667691,38800040,232569068
20518109,108088442,38364035,229853715,38382695,257380609
20650347,102828363,38562613,230081772,39688037,240057326
20296372,102969381,38158528,229395502,38709180,239612582
20547599,108436627,38776799,231916048,39542779,232255253
20636108,248552839,39011837,249273550,38539542,230081293
20539819,249395008,38472074,239221558,38368225,244575374
20281403,107198783,38120379,227945912,38360865,230755853
20492790,245093817,39004007,232793405,38866849,245482971
20781386,105022083,39427091,232366311,38698761,243903683
20712726,103879129,38307916,229807207,39315672,231402004
20583929,241469247,38162338,230645565,37996751,229011227
20566519,102217322,38518143,237396082,39624088,232052426
20676677,104596229,38923048,232206403,38968187,232820545
20808865,103021391,38468263,229978524,38372315,229715698
20669237,248236504,38676931,233388228,38348986,253243555
20305593,107331701,38014340,230675755,38630632,231728250
20468230,246514028,38798650,232822665,38831458,232121375
20625968,249795293,38967417,229984454,39476630,229895425
20656638,108364757,38751480,241013133,39021086,229406952
20401911,221870535,38260756,227837294,38720860,228495324
20461080,238912822,37960281,228485894,38349426,234258655
20364971,246217492,39240813,229958314,38408955,229666798
20556308,104097716,38862499,230886481,38759600,229850676
21078241,242005090,38069589,227813443,38241177,228400016
20378621,244798322,37974380,229076467,38205428,228281687
20322392,240813276,38285936,228612693,38349666,229820226
20540220,243437079,38462434,233392258,38618481,231017450
20439220,103706222,38341665,227801374,38705280,229414992
20539069,104218974,38698911,231647101,38607902,231703011
20832875,239662491,38783860,231666161,38622592,240657798
20440051,103259657,39228194,231356555,38416884,230747334
20616018,102510957,38441724,230970911,39325382,230795942
20433520,108520036,38225087,228746431,38020330,228105060
20333872,247300547,38200878,228021910,38021689,227897923
20315642,101321734,38032380,231285136,38807119,231358065
20503829,107969343,38400005,230796273,38375165,230020884
20665417,249134572,38615042,239321446,39647657,229516141
20302492,243933283,37942211,228690152,38789530,244911110
20627378,103223618,38858578,244078171,38997216,232544649
20578149,109890386,38751480,258864499,38874858,230564096
20594598,245638320,38356105,232133995,38662452,231281916
20725987,104498940,38530983,235329211,38268447,231777769
20272943,101251275,38372105,228950148,38480454,231329915
20594558,108528026,38973107,232449960,38802799,232176604
20470220,125161188,38804459,232625368,38702950,233760432
20622288,103808630,38359245,234694729,39250893,231256937
20740266,102612286,38843819,233948310,38984606,228507894
20280532,107002046,38096169,228093970,38827609,231322055
20579428,251824556,38535962,240347513,39026156,233868640
20621728,103845930,38902147,233395608,38665072,229756256
20616888,107615257,38723371,229880695,38544632,231236767
20744136,248072207,38515443,265886423,38253617,230918081
20288222,101181686,38048120,227810143,38261977,228575613
20315832,241534686,38234187,256698849,38628021,256991235
20446540,246392000,38674810,229935425,38481383,229824067
20572909,102189232,38648802,230715733,39018117,231304715
20721087,245936596,38544242,229582710,38066389,227935002
20309622,101272005,37965471,228841699,38459504,246494698
20614898,103431995,38855079,232008267,38592862,232614068
20699007,105694054,39281772,237943455,39513419,229968424
20632867,104572530,38406574,230404919,39308632,246711625
20730696,110838344,38804619,231424304,38680041,260700693
20346142,103593183,38112648,227817144,38023210,231912257
