count_par,count_seq,upper_par,upper_seq,lower_par,lower_seq
950,1060,690,4040,610,2690
310,1030,520,2320,490,2310
280,1020,550,2310,560,2310
280,1000,470,2300,470,2300
280,1010,470,2290,479,2300
280,1010,470,2290,480,2300
280,1000,470,2300,470,2290
280,1000,460,2300,460,2300
280,1000,460,2280,470,2300
290,1000,550,2300,560,2300
280,1010,470,2300,480,2310
280,1020,460,2300,470,2300
280,1000,470,2300,470,2300
280,1000,460,2290,470,2290
280,1000,460,2290,469,2290
290,1000,460,2300,470,2280
290,1010,570,2280,560,2300
280,1000,480,2300,480,2300
280,1010,480,2300,480,2300
280,1000,470,2300,470,2300
280,1000,460,2280,470,2300
280,1000,470,2300,470,2300
280,1000,470,2300,470,2300
280,1000,460,2290,560,2300
280,1000,570,2290,480,2299
280,1650,470,2300,470,2310
280,1000,460,2290,470,2290
290,1000,460,2300,470,2290
290,1000,460,2300,470,2300
290,1000,470,2300,470,2300
290,1000,470,2300,470,2300
290,1000,560,2290,560,2300
280,1000,480,2300,470,2300
290,1000,470,2290,470,2300
280,1000,480,2300,470,2299
280,1000,460,2290,470,2290
280,1000,460,2290,470,2290
290,1000,460,2300,470,2290
290,1000,570,2300,550,2300
280,1000,470,2290,470,2290
280,1010,480,2300,470,2300
280,1000,460,2290,470,2300
280,1000,460,2290,470,2300
280,1000,470,2300,470,2300
280,1000,470,2300,470,2299
280,1010,570,2290,550,2300
280,1010,470,2300,480,2300
280,1000,470,2300,470,2300
290,1000,460,2300,470,2300
290,1000,470,2300,470,2300
280,1010,470,2300,470,2300
280,1010,470,2300,470,2300
280,1010,470,2300,560,2300
280,1000,570,2310,480,2310
280,1020,460,2280,470,2309
280,1000,460,2300,470,2290
280,1000,460,2280,480,2300
280,1000,460,2300,470,2290
290,1000,460,2300,470,2290
280,1000,460,2300,470,2290
290,1010,570,2280,550,2290
280,1000,470,2300,480,2300
280,1000,470,2290,480,2300
290,1010,460,2290,470,2300
280,1000,460,2280,480,2300
280,999,460,2300,480,2300
290,1010,460,2290,470,2300
280,1010,570,2300,550,2290
280,1000,470,2300,480,2300
280,1000,470,2300,470,2300
280,1010,460,2300,480,2300
290,1010,460,2290,470,2300
290,1010,460,2290,480,2300
290,1000,460,2300,470,2290
290,1010,570,2310,550,2300
280,1000,459,2300,490,2300
280,1010,460,2300,480,2300
290,1010,460,2290,480,2300
290,1000,460,2280,480,2300
280,1000,470,2300,470,2330
290,1000,460,2290,470,2300
280,1010,460,2300,550,2330
280,1000,570,2300,480,2300
280,1000,470,2300,480,2300
280,1000,460,2300,470,2300
280,1010,460,2289,480,2300
280,1000,470,2280,480,2300
280,1000,460,2300,470,2300
290,1000,460,2290,470,2300
280,1000,570,2300,550,2290
280,1000,470,2290,490,2300
280,1000,470,2300,470,2300
290,1010,460,2300,480,2300
290,1000,460,2300,470,2290
290,1010,460,2290,480,2300
280,1010,460,2299,480,2300
280,1000,570,2280,550,2300
270,1000,470,2300,480,2300
280,1010,460,2280,470,2300
290,1010,460,2290,480,2300
